sa2_code,name,worksheet_row,erp_2020,erp_2021,erp_2022,erp_2023,erp_2024,erp_2025
206011106,Brunswick East,760,13064,12964,13238,13691,14328,14693
206011107,Brunswick West,761,15010,14497,14619,15115,15538,15988
206011109,Pascoe Vale South,762,10836,10463,10398,10600,10831,10907
206011495,Brunswick - North,763,14124,13077,13185,13976,14474,15255
206011496,Brunswick - South,764,14235,13208,13303,14204,15081,15366
206011497,Coburg - East,765,13265,12675,12901,13482,13887,14457
206011498,Coburg - West,766,14523,14184,14066,14476,14767,14989
206021110,Alphington - Fairfield,767,9538,9069,9142,9469,9653,9749
206021112,Thornbury,768,19791,19153,19126,19544,19893,20234
206021499,Northcote - East,769,16183,15229,15082,15490,15836,15969
206021500,Northcote - West,770,10887,10424,10437,10682,10878,11026
206031113,Ascot Vale,771,15784,15351,15148,15674,16078,16398
206031115,Flemington,772,10270,9181,9143,9729,10215,9935
206031116,Moonee Ponds,773,16639,16400,16547,17157,17752,17965
206031501,Essendon (West) - Aberfeldie,774,16920,16175,16145,16584,17096,17119
206031502,Essendon - East,775,12763,12314,12252,12616,12876,13196
206041117,Carlton,776,20865,17064,17942,21321,23758,25267
206041118,Docklands,777,16671,15905,16395,17661,18407,19139
206041119,East Melbourne,778,5383,4959,4860,5066,5169,5245
206041120,Flemington Racecourse,779,81,78,78,78,78,78
206041121,Kensington (Vic.),780,11416,10872,10968,11358,11625,12423
206041124,Parkville,781,8318,7428,7398,7937,8184,8280
206041125,South Yarra - West,782,6960,6536,6540,6760,6893,6894
206041127,West Melbourne - Industrial,783,0,0,0,0,0,0
206041503,Melbourne CBD - East,784,12346,10119,10630,12389,13593,14266
206041504,Melbourne CBD - North,785,19155,17360,18774,21527,23395,24296
206041505,Melbourne CBD - West,786,18796,16098,17226,19965,21340,22163
206041506,North Melbourne,787,18154,15945,16510,17942,19069,19286
206041507,Royal Botanic Gardens Victoria,788,0,0,0,0,0,0
206041508,Southbank (West) - South Wharf,789,7551,6607,6778,7379,7783,8122
206041509,Southbank - East,790,17305,16506,17267,18684,19274,19552
206041510,West Melbourne - Residential,791,7567,7614,7979,8687,9236,9699
206051128,Albert Park,792,16955,16011,16126,16811,17094,17253
206051129,Elwood,793,15925,15032,14846,15415,15880,16056
206051130,Port Melbourne,794,16998,16366,16365,16752,16817,16927
206051134,St Kilda East,795,17259,16073,15951,16707,17237,17380
206051511,Port Melbourne Industrial,796,1709,1944,2195,2457,2567,3148
206051512,South Melbourne,797,12721,11856,11828,12455,12826,13132
206051513,St Kilda - Central,798,13380,12086,12207,13134,13641,14012
206051514,St Kilda - West,799,15648,14090,14211,15419,15944,16298
206061135,Armadale,800,10075,9433,9343,9735,9934,10032
206061136,Prahran - Windsor,801,20847,19444,19191,20171,20777,21112
206061138,Toorak,802,13644,13096,13081,13297,13439,13610
206061515,South Yarra - North,803,12223,11449,11717,12877,13516,13779
