sa2_code,ptal_candidate_count,ptal_intersecting_count,ptal_valid_count,ptal_valid_covered_area_m2,ptal_coverage_fraction,park_candidate_count,park_included_feature_count,park_union_area_m2,park_overlap_removed_m2,selected_space_excluding_explicit_water_body_yes_m2_per_person,open_space_inventory_coverage_fraction
206011106,171,117,117,2167998.4518390964,1.0,141,86,292046.0937055356,0.4146452500135638,19.576278039139922,
206011107,327,167,167,3178667.0515242284,1.0,282,141,232409.32997947713,0.019074739975621924,14.307610309676704,
206011109,183,147,147,2988928.1366662337,0.9999999999999962,133,50,203335.82322385328,0.11283778405049816,18.642690311163832,
206011495,176,121,121,2408738.4501897553,1.0,41,12,10632.68568624008,0.0,0.6969967673707033,
206011496,180,137,137,2733708.026017888,0.999999999999992,58,28,229331.96603142508,0.0029405432287603617,14.92463660233144,
206011497,216,180,180,3746611.2105023703,0.9999999999999939,202,102,418701.5718021475,1.6641199103323743,28.7926864856423,
206011498,177,156,156,3187053.2537620566,1.0,36,21,70070.91105007728,0.0,4.674822273005356,
206021110,182,144,144,2884964.5118796676,0.9999999999999777,74,29,255042.30327926474,0.0005867129366379231,26.1608681176802,
206021112,363,247,247,4996935.896138962,1.0,166,74,462813.3513109946,831.0882609478431,22.671495885532355,
206021499,219,173,173,3513479.7050430365,0.999999999999992,60,21,349789.98684507643,0.00015351269394159317,21.904313785777767,
206021500,246,137,137,2631389.259204072,1.0,230,48,239996.90404407727,0.02564849072950892,21.70165191068612,
206031113,358,200,200,3836150.6707506967,0.999999999999984,250,42,449257.4618794218,0.028567640169057995,27.259446818963898,
206031115,121,88,88,1580897.1963042202,0.9999999999999868,103,35,163614.1116879991,0.019744400633499026,16.46845613366972,
206031116,275,213,213,4355548.9177168785,0.9999999999999966,191,88,327457.6682165765,0.36712946329498664,18.201773117226175,
206031501,298,234,234,4888945.682654538,0.9999999999999939,70,13,410373.46082754387,0.00032212038058787584,23.971812654217036,
206031502,248,185,185,3554485.2433554,1.0,195,88,323875.2975214139,0.04787172336364165,24.543444795501863,
206041117,132,97,97,1818205.838113357,0.999999999999953,114,17,280199.0661233622,0.006518842128571123,11.089526501894259,
206041118,174,127,127,2443695.9230297594,0.9999999999999601,85,34,649740.8208895284,5112.557958205813,4.7643911694464505,
206041119,234,148,148,2899659.6156477043,1.0,205,84,974465.5992278714,0.022680243477225304,165.22064278151225,
206041120,152,94,94,1709307.1228722082,1.0,63,2,38168.45572551124,0.0,472.71345848403206,
206041121,177,112,112,2146982.9144537593,0.999999999999902,143,86,306741.0524237424,47.32530921237776,21.10634969290369,
206041124,319,199,199,4048708.027355341,1.0,232,56,1384149.5460095818,0.008069101953878999,163.92860027858612,
206041125,170,90,90,1502222.254324082,0.9999999999999523,66,2,412640.72687421215,1.1641532182693481e-10,59.85505176591415,
206041127,449,296,296,6199353.756776191,1.0,141,47,1031658.5414077368,8887.848547088448,,
206041503,74,47,47,801785.0834649369,0.9999999999998901,77,5,5567.90094897581,0.0,0.3902916689314321,
206041504,42,35,35,561494.3395572375,1.0,47,3,6713.300142847603,9.094947017729282e-13,0.276312979208413,
206041505,103,60,60,1005333.2936493177,1.0,87,17,74829.76048114692,0.0,1.2005910582682893,
206041506,204,126,126,2425252.559916237,1.0,179,44,114254.1605893363,0.0005001711542718112,5.39226663336251,
206041507,132,76,76,1351088.2005964294,1.0,133,45,1094022.5850621013,0.0037677320651710033,,
206041508,115,54,54,849835.372175134,1.0,117,21,91800.35889668927,3.840250428766012e-08,1.534116652631216,
206041509,73,50,50,803842.5516341969,1.0,66,6,8537.369930367395,7.582822763652075e-05,0.4366494440654355,
206041510,61,48,48,824582.6171310046,0.9999999999998945,33,20,86700.32481168618,0.0,8.939099372274066,
206051128,361,230,230,4675440.2887559915,0.9999976806589284,179,45,1574660.5739351711,0.6499481990467757,91.26879811830635,
206051129,192,135,135,2553507.812446485,0.9999999999999958,89,43,365338.3401570447,0.0,22.754007234493347,
206051130,216,140,140,2702133.129168613,0.9688294008545675,131,70,498202.11808355234,0.0003297235816717148,29.432393104717416,
206051134,246,127,127,2413147.0247796215,1.0,59,8,106597.44801438636,0.0,6.133339931782874,
206051511,661,374,374,7578861.829734519,0.9916477821786811,237,24,781666.0229238531,0.044765458442270756,161.20477710873104,
