sa2_code,name,boundary_year,gccsa_code,official_area_sq_km,calculated_area_m2,area_crs,is_comparable,eligibility_note,source_id
206011106,Brunswick East,2021,2GMEL,2.1682,2167998.451839078,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206011107,Brunswick West,2021,2GMEL,3.1795,3178667.0515242172,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206011109,Pascoe Vale South,2021,2GMEL,2.9887,2988928.136666245,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206011495,Brunswick - North,2021,2GMEL,2.4091,2408738.450189732,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206011496,Brunswick - South,2021,2GMEL,2.7334,2733708.02601791,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206011497,Coburg - East,2021,2GMEL,3.7471,3746611.210502393,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206011498,Coburg - West,2021,2GMEL,3.1876,3187053.253762021,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206021110,Alphington - Fairfield,2021,2GMEL,2.8853,2884964.511879732,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206021112,Thornbury,2021,2GMEL,4.9972,4996935.896138901,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206021499,Northcote - East,2021,2GMEL,3.5134,3513479.7050430644,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206021500,Northcote - West,2021,2GMEL,2.6316,2631389.259204071,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206031113,Ascot Vale,2021,2GMEL,3.8361,3836150.670750758,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206031115,Flemington,2021,2GMEL,1.5808,1580897.1963042412,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206031116,Moonee Ponds,2021,2GMEL,4.3551,4355548.917716893,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206031501,Essendon (West) - Aberfeldie,2021,2GMEL,4.8886,4888945.682654568,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206031502,Essendon - East,2021,2GMEL,3.5543,3554485.243355272,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041117,Carlton,2021,2GMEL,1.8187,1818205.8381134425,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041118,Docklands,2021,2GMEL,2.444,2443695.9230298568,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041119,East Melbourne,2021,2GMEL,2.8998,2899659.6156476145,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041120,Flemington Racecourse,2021,2GMEL,1.7093,1709307.1228721559,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041121,Kensington (Vic.),2021,2GMEL,2.147,2146982.91445397,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041124,Parkville,2021,2GMEL,4.0491,4048708.027355277,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041125,South Yarra - West,2021,2GMEL,1.5027,1502222.2543241538,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041127,West Melbourne - Industrial,2021,2GMEL,6.1992,6199353.756776023,EPSG:7855,0,"Retained for complete geography coverage; 2025 ERP is zero/missing, so excluded from the sample renter comparison set.",abs-sa2-2021
206041503,Melbourne CBD - East,2021,2GMEL,0.802,801785.0834650251,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041504,Melbourne CBD - North,2021,2GMEL,0.5616,561494.3395572322,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041505,Melbourne CBD - West,2021,2GMEL,1.0051,1005333.2936492868,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041506,North Melbourne,2021,2GMEL,2.4248,2425252.559916196,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041507,Royal Botanic Gardens Victoria,2021,2GMEL,1.3511,1351088.200596366,EPSG:7855,0,"Retained for complete geography coverage; 2025 ERP is zero/missing, so excluded from the sample renter comparison set.",abs-sa2-2021
206041508,Southbank (West) - South Wharf,2021,2GMEL,0.8496,849835.3721750878,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041509,Southbank - East,2021,2GMEL,0.804,803842.5516341922,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206041510,West Melbourne - Residential,2021,2GMEL,0.8247,824582.6171310915,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206051128,Albert Park,2021,2GMEL,4.6747,4675451.132721832,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206051129,Elwood,2021,2GMEL,2.553,2553507.8124464955,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206051130,Port Melbourne,2021,2GMEL,2.7894,2789070.115734684,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206051134,St Kilda East,2021,2GMEL,2.4135,2413147.024779577,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206051511,Port Melbourne Industrial,2021,2GMEL,7.6426,7642695.28550099,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206051512,South Melbourne,2021,2GMEL,1.8897,1889630.3745031357,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206051513,St Kilda - Central,2021,2GMEL,1.5375,1537613.7240889466,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206051514,St Kilda - West,2021,2GMEL,2.3637,2363735.134814597,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206061135,Armadale,2021,2GMEL,2.1835,2182790.1348123155,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206061136,Prahran - Windsor,2021,2GMEL,2.9053,2904489.4528979026,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206061138,Toorak,2021,2GMEL,4.3233,4323341.196810246,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206061515,South Yarra - North,2021,2GMEL,1.1696,1169588.1205543452,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206061516,South Yarra - South,2021,2GMEL,1.3475,1347806.6171579387,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206071139,Abbotsford,2021,2GMEL,1.7405,1740629.025377814,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206071140,Carlton North - Princes Hill,2021,2GMEL,2.3042,2304088.4046390904,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206071141,Collingwood,2021,2GMEL,1.2669,1267010.462939915,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206071142,Fitzroy,2021,2GMEL,1.3779,1377460.5795185543,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206071143,Fitzroy North,2021,2GMEL,2.5051,2504967.1995227817,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206071145,Clifton Hill - Alphington,2021,2GMEL,5.2089,5208342.060844936,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206071517,Richmond (South) - Cremorne,2021,2GMEL,4.2891,4288771.83495195,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
206071518,Richmond - North,2021,2GMEL,1.9233,1923595.3050105397,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207011146,Ashburton (Vic.),2021,2GMEL,2.8366,2836246.751335078,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207011147,Balwyn,2021,2GMEL,5.5851,5584971.600078988,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207011148,Balwyn North,2021,2GMEL,8.8492,8848160.56577819,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207011149,Camberwell,2021,2GMEL,7.2919,7290909.79760894,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207011150,Glen Iris - East,2021,2GMEL,5.7049,5704877.243684929,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207011152,Hawthorn East,2021,2GMEL,3.824,3824272.4912203653,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207011154,Kew East,2021,2GMEL,4.0154,4015302.364596197,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207011155,Surrey Hills (West) - Canterbury,2021,2GMEL,5.7026,5702012.308670495,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207011519,Hawthorn - North,2021,2GMEL,2.4558,2455658.4398440206,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207011520,Hawthorn - South,2021,2GMEL,3.2163,3216011.6442660163,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207011521,Kew - South,2021,2GMEL,4.3235,4322953.799970018,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207011522,Kew - West,2021,2GMEL,6.2106,6209705.989278751,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207021156,Bulleen,2021,2GMEL,6.6711,6670411.905845785,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207021157,Doncaster,2021,2GMEL,8.7738,8773244.517668,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207021159,Templestowe,2021,2GMEL,16.1176,16114902.619834172,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207021160,Templestowe Lower,2021,2GMEL,5.9386,5937488.674628687,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207021424,Doncaster East - North,2021,2GMEL,6.403,6402257.944830492,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
207021425,Doncaster East - South,2021,2GMEL,4.7684,4767989.962844413,EPSG:7855,1,Spatial Greater Melbourne SA2 with positive 2025 ERP; individual indicators may be unavailable.,abs-sa2-2021
