sa2_code,indicator_key,component_key,value,unit,reference_period,source_id
206011106,population_growth,population_start,13064,persons,2020-06-30,abs-erp-2024-25
206011106,population_growth,population_end,14693,persons,2025-06-30,abs-erp-2024-25
206011106,transport_access,weighted_index_area_sum,50570376.026583456,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011106,transport_access,valid_intersection_area,2167998.4518390973,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011106,transport_access,sa2_area,2167998.451839078,m2,Boundary 2021,abs-sa2-2021
206011106,green_space_per_resident,eligible_open_space_area,292046.0937055356,m2,Observation date unverified,vpa-open-space-snapshot
206011106,green_space_per_resident,population_denominator,14693,persons,2025-06-30,abs-erp-2024-25
206011107,population_growth,population_start,15010,persons,2020-06-30,abs-erp-2024-25
206011107,population_growth,population_end,15988,persons,2025-06-30,abs-erp-2024-25
206011107,transport_access,weighted_index_area_sum,60390602.878762275,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011107,transport_access,valid_intersection_area,3178667.0515242284,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011107,transport_access,sa2_area,3178667.0515242172,m2,Boundary 2021,abs-sa2-2021
206011107,green_space_per_resident,eligible_open_space_area,232409.32997947713,m2,Observation date unverified,vpa-open-space-snapshot
206011107,green_space_per_resident,population_denominator,15988,persons,2025-06-30,abs-erp-2024-25
206011109,population_growth,population_start,10836,persons,2020-06-30,abs-erp-2024-25
206011109,population_growth,population_end,10907,persons,2025-06-30,abs-erp-2024-25
206011109,transport_access,weighted_index_area_sum,41260843.31434393,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011109,transport_access,valid_intersection_area,2988928.136666232,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011109,transport_access,sa2_area,2988928.136666245,m2,Boundary 2021,abs-sa2-2021
206011109,green_space_per_resident,eligible_open_space_area,203335.82322385328,m2,Observation date unverified,vpa-open-space-snapshot
206011109,green_space_per_resident,population_denominator,10907,persons,2025-06-30,abs-erp-2024-25
206011495,population_growth,population_start,14124,persons,2020-06-30,abs-erp-2024-25
206011495,population_growth,population_end,15255,persons,2025-06-30,abs-erp-2024-25
206011495,transport_access,weighted_index_area_sum,66138736.9651317,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011495,transport_access,valid_intersection_area,2408738.4501897567,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011495,transport_access,sa2_area,2408738.450189732,m2,Boundary 2021,abs-sa2-2021
206011495,green_space_per_resident,eligible_open_space_area,10632.68568624008,m2,Observation date unverified,vpa-open-space-snapshot
206011495,green_space_per_resident,population_denominator,15255,persons,2025-06-30,abs-erp-2024-25
206011496,population_growth,population_start,14235,persons,2020-06-30,abs-erp-2024-25
206011496,population_growth,population_end,15366,persons,2025-06-30,abs-erp-2024-25
206011496,transport_access,weighted_index_area_sum,69767746.22741726,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011496,transport_access,valid_intersection_area,2733708.0260178875,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011496,transport_access,sa2_area,2733708.02601791,m2,Boundary 2021,abs-sa2-2021
206011496,green_space_per_resident,eligible_open_space_area,229331.96603142508,m2,Observation date unverified,vpa-open-space-snapshot
206011496,green_space_per_resident,population_denominator,15366,persons,2025-06-30,abs-erp-2024-25
206011497,population_growth,population_start,13265,persons,2020-06-30,abs-erp-2024-25
206011497,population_growth,population_end,14457,persons,2025-06-30,abs-erp-2024-25
206011497,transport_access,weighted_index_area_sum,90156369.29835685,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011497,transport_access,valid_intersection_area,3746611.2105023707,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011497,transport_access,sa2_area,3746611.210502393,m2,Boundary 2021,abs-sa2-2021
206011497,green_space_per_resident,eligible_open_space_area,418701.5718021475,m2,Observation date unverified,vpa-open-space-snapshot
206011497,green_space_per_resident,population_denominator,14457,persons,2025-06-30,abs-erp-2024-25
206011498,population_growth,population_start,14523,persons,2020-06-30,abs-erp-2024-25
206011498,population_growth,population_end,14989,persons,2025-06-30,abs-erp-2024-25
206011498,transport_access,weighted_index_area_sum,56136086.36912495,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011498,transport_access,valid_intersection_area,3187053.253762056,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206011498,transport_access,sa2_area,3187053.253762021,m2,Boundary 2021,abs-sa2-2021
206011498,green_space_per_resident,eligible_open_space_area,70070.91105007728,m2,Observation date unverified,vpa-open-space-snapshot
206011498,green_space_per_resident,population_denominator,14989,persons,2025-06-30,abs-erp-2024-25
206021110,population_growth,population_start,9538,persons,2020-06-30,abs-erp-2024-25
206021110,population_growth,population_end,9749,persons,2025-06-30,abs-erp-2024-25
206021110,transport_access,weighted_index_area_sum,46719364.08249029,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021110,transport_access,valid_intersection_area,2884964.5118796667,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021110,transport_access,sa2_area,2884964.511879732,m2,Boundary 2021,abs-sa2-2021
206021110,green_space_per_resident,eligible_open_space_area,255042.30327926474,m2,Observation date unverified,vpa-open-space-snapshot
206021110,green_space_per_resident,population_denominator,9749,persons,2025-06-30,abs-erp-2024-25
206021112,population_growth,population_start,19791,persons,2020-06-30,abs-erp-2024-25
206021112,population_growth,population_end,20234,persons,2025-06-30,abs-erp-2024-25
206021112,transport_access,weighted_index_area_sum,89914344.73170279,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021112,transport_access,valid_intersection_area,4996935.896138967,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021112,transport_access,sa2_area,4996935.896138901,m2,Boundary 2021,abs-sa2-2021
206021112,green_space_per_resident,eligible_open_space_area,462813.3513109946,m2,Observation date unverified,vpa-open-space-snapshot
206021112,green_space_per_resident,population_denominator,20234,persons,2025-06-30,abs-erp-2024-25
206021499,population_growth,population_start,16183,persons,2020-06-30,abs-erp-2024-25
206021499,population_growth,population_end,15969,persons,2025-06-30,abs-erp-2024-25
206021499,transport_access,weighted_index_area_sum,84035834.69721366,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021499,transport_access,valid_intersection_area,3513479.705043039,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021499,transport_access,sa2_area,3513479.7050430644,m2,Boundary 2021,abs-sa2-2021
206021499,green_space_per_resident,eligible_open_space_area,349789.98684507643,m2,Observation date unverified,vpa-open-space-snapshot
206021499,green_space_per_resident,population_denominator,15969,persons,2025-06-30,abs-erp-2024-25
206021500,population_growth,population_start,10887,persons,2020-06-30,abs-erp-2024-25
206021500,population_growth,population_end,11026,persons,2025-06-30,abs-erp-2024-25
206021500,transport_access,weighted_index_area_sum,63910704.872177266,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021500,transport_access,valid_intersection_area,2631389.2592040724,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206021500,transport_access,sa2_area,2631389.259204071,m2,Boundary 2021,abs-sa2-2021
206021500,green_space_per_resident,eligible_open_space_area,239996.90404407727,m2,Observation date unverified,vpa-open-space-snapshot
206021500,green_space_per_resident,population_denominator,11026,persons,2025-06-30,abs-erp-2024-25
206031113,population_growth,population_start,15784,persons,2020-06-30,abs-erp-2024-25
206031113,population_growth,population_end,16398,persons,2025-06-30,abs-erp-2024-25
206031113,transport_access,weighted_index_area_sum,65746449.07035766,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031113,transport_access,valid_intersection_area,3836150.670750697,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031113,transport_access,sa2_area,3836150.670750758,m2,Boundary 2021,abs-sa2-2021
206031113,green_space_per_resident,eligible_open_space_area,449257.4618794218,m2,Observation date unverified,vpa-open-space-snapshot
206031113,green_space_per_resident,population_denominator,16398,persons,2025-06-30,abs-erp-2024-25
206031115,population_growth,population_start,10270,persons,2020-06-30,abs-erp-2024-25
206031115,population_growth,population_end,9935,persons,2025-06-30,abs-erp-2024-25
206031115,transport_access,weighted_index_area_sum,34086714.44721863,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031115,transport_access,valid_intersection_area,1580897.1963042216,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031115,transport_access,sa2_area,1580897.1963042412,m2,Boundary 2021,abs-sa2-2021
206031115,green_space_per_resident,eligible_open_space_area,163614.1116879991,m2,Observation date unverified,vpa-open-space-snapshot
206031115,green_space_per_resident,population_denominator,9935,persons,2025-06-30,abs-erp-2024-25
206031116,population_growth,population_start,16639,persons,2020-06-30,abs-erp-2024-25
206031116,population_growth,population_end,17965,persons,2025-06-30,abs-erp-2024-25
206031116,transport_access,weighted_index_area_sum,94750371.2258909,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031116,transport_access,valid_intersection_area,4355548.917716883,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031116,transport_access,sa2_area,4355548.917716893,m2,Boundary 2021,abs-sa2-2021
206031116,green_space_per_resident,eligible_open_space_area,327457.6682165765,m2,Observation date unverified,vpa-open-space-snapshot
206031116,green_space_per_resident,population_denominator,17965,persons,2025-06-30,abs-erp-2024-25
206031501,population_growth,population_start,16920,persons,2020-06-30,abs-erp-2024-25
206031501,population_growth,population_end,17119,persons,2025-06-30,abs-erp-2024-25
206031501,transport_access,weighted_index_area_sum,64608975.88052912,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031501,transport_access,valid_intersection_area,4888945.682654537,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031501,transport_access,sa2_area,4888945.682654568,m2,Boundary 2021,abs-sa2-2021
206031501,green_space_per_resident,eligible_open_space_area,410373.46082754387,m2,Observation date unverified,vpa-open-space-snapshot
206031501,green_space_per_resident,population_denominator,17119,persons,2025-06-30,abs-erp-2024-25
206031502,population_growth,population_start,12763,persons,2020-06-30,abs-erp-2024-25
206031502,population_growth,population_end,13196,persons,2025-06-30,abs-erp-2024-25
206031502,transport_access,weighted_index_area_sum,91029733.18847881,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031502,transport_access,valid_intersection_area,3554485.2433554004,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206031502,transport_access,sa2_area,3554485.243355272,m2,Boundary 2021,abs-sa2-2021
206031502,green_space_per_resident,eligible_open_space_area,323875.2975214139,m2,Observation date unverified,vpa-open-space-snapshot
206031502,green_space_per_resident,population_denominator,13196,persons,2025-06-30,abs-erp-2024-25
206041117,population_growth,population_start,20865,persons,2020-06-30,abs-erp-2024-25
206041117,population_growth,population_end,25267,persons,2025-06-30,abs-erp-2024-25
206041117,transport_access,weighted_index_area_sum,76034106.3774678,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041117,transport_access,valid_intersection_area,1818205.838113357,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041117,transport_access,sa2_area,1818205.8381134425,m2,Boundary 2021,abs-sa2-2021
206041117,green_space_per_resident,eligible_open_space_area,280199.0661233622,m2,Observation date unverified,vpa-open-space-snapshot
206041117,green_space_per_resident,population_denominator,25267,persons,2025-06-30,abs-erp-2024-25
206041118,population_growth,population_start,16671,persons,2020-06-30,abs-erp-2024-25
206041118,population_growth,population_end,19139,persons,2025-06-30,abs-erp-2024-25
206041118,transport_access,weighted_index_area_sum,79682259.16090293,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041118,transport_access,valid_intersection_area,2443695.9230297613,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041118,transport_access,sa2_area,2443695.9230298568,m2,Boundary 2021,abs-sa2-2021
206041118,green_space_per_resident,eligible_open_space_area,649740.8208895284,m2,Observation date unverified,vpa-open-space-snapshot
206041118,green_space_per_resident,population_denominator,19139,persons,2025-06-30,abs-erp-2024-25
206041119,population_growth,population_start,5383,persons,2020-06-30,abs-erp-2024-25
206041119,population_growth,population_end,5245,persons,2025-06-30,abs-erp-2024-25
206041119,transport_access,weighted_index_area_sum,123180021.66188857,access_index*m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041119,transport_access,valid_intersection_area,2899659.6156477034,m2,Retrieved 2026-09-08,dtp-ptal-snapshot
206041119,transport_access,sa2_area,2899659.6156476145,m2,Boundary 2021,abs-sa2-2021
206041119,green_space_per_resident,eligible_open_space_area,974465.5992278714,m2,Observation date unverified,vpa-open-space-snapshot
206041119,green_space_per_resident,population_denominator,5245,persons,2025-06-30,abs-erp-2024-25
206041120,population_growth,population_start,81,persons,2020-06-30,abs-erp-2024-25
206041120,population_growth,population_end,78,persons,2025-06-30,abs-erp-2024-25
