sa2_code,indicator_key,source_id,role
206011106,rent_weekly,abs-census-2021-g02,raw_measure
206011106,rent_weekly,abs-sa2-2021,boundary
206011106,population_growth,abs-erp-2024-25,endpoints
206011106,population_growth,abs-sa2-2021,boundary
206011106,transport_access,dtp-ptal-snapshot,raw_measure
206011106,transport_access,abs-sa2-2021,boundary
206011106,green_space_per_resident,vpa-open-space-snapshot,numerator
206011106,green_space_per_resident,abs-erp-2024-25,denominator
206011106,green_space_per_resident,abs-sa2-2021,boundary
206011107,rent_weekly,abs-census-2021-g02,raw_measure
206011107,rent_weekly,abs-sa2-2021,boundary
206011107,population_growth,abs-erp-2024-25,endpoints
206011107,population_growth,abs-sa2-2021,boundary
206011107,transport_access,dtp-ptal-snapshot,raw_measure
206011107,transport_access,abs-sa2-2021,boundary
206011107,green_space_per_resident,vpa-open-space-snapshot,numerator
206011107,green_space_per_resident,abs-erp-2024-25,denominator
206011107,green_space_per_resident,abs-sa2-2021,boundary
206011109,rent_weekly,abs-census-2021-g02,raw_measure
206011109,rent_weekly,abs-sa2-2021,boundary
206011109,population_growth,abs-erp-2024-25,endpoints
206011109,population_growth,abs-sa2-2021,boundary
206011109,transport_access,dtp-ptal-snapshot,raw_measure
206011109,transport_access,abs-sa2-2021,boundary
206011109,green_space_per_resident,vpa-open-space-snapshot,numerator
206011109,green_space_per_resident,abs-erp-2024-25,denominator
206011109,green_space_per_resident,abs-sa2-2021,boundary
206011495,rent_weekly,abs-census-2021-g02,raw_measure
206011495,rent_weekly,abs-sa2-2021,boundary
206011495,population_growth,abs-erp-2024-25,endpoints
206011495,population_growth,abs-sa2-2021,boundary
206011495,transport_access,dtp-ptal-snapshot,raw_measure
206011495,transport_access,abs-sa2-2021,boundary
206011495,green_space_per_resident,vpa-open-space-snapshot,numerator
206011495,green_space_per_resident,abs-erp-2024-25,denominator
206011495,green_space_per_resident,abs-sa2-2021,boundary
206011496,rent_weekly,abs-census-2021-g02,raw_measure
206011496,rent_weekly,abs-sa2-2021,boundary
206011496,population_growth,abs-erp-2024-25,endpoints
206011496,population_growth,abs-sa2-2021,boundary
206011496,transport_access,dtp-ptal-snapshot,raw_measure
206011496,transport_access,abs-sa2-2021,boundary
206011496,green_space_per_resident,vpa-open-space-snapshot,numerator
206011496,green_space_per_resident,abs-erp-2024-25,denominator
206011496,green_space_per_resident,abs-sa2-2021,boundary
206011497,rent_weekly,abs-census-2021-g02,raw_measure
206011497,rent_weekly,abs-sa2-2021,boundary
206011497,population_growth,abs-erp-2024-25,endpoints
206011497,population_growth,abs-sa2-2021,boundary
206011497,transport_access,dtp-ptal-snapshot,raw_measure
206011497,transport_access,abs-sa2-2021,boundary
206011497,green_space_per_resident,vpa-open-space-snapshot,numerator
206011497,green_space_per_resident,abs-erp-2024-25,denominator
206011497,green_space_per_resident,abs-sa2-2021,boundary
206011498,rent_weekly,abs-census-2021-g02,raw_measure
206011498,rent_weekly,abs-sa2-2021,boundary
