sa2_code,year,population,reference_date,revision_status,source_id,source_locator
206011106,2020,13064,2020-06-30,final,abs-erp-2024-25,Table 1!AD760
206011106,2021,12964,2021-06-30,final,abs-erp-2024-25,Table 1!AE760
206011106,2022,13238,2022-06-30,revised,abs-erp-2024-25,Table 1!AF760
206011106,2023,13691,2023-06-30,revised,abs-erp-2024-25,Table 1!AG760
206011106,2024,14328,2024-06-30,revised,abs-erp-2024-25,Table 1!AH760
206011106,2025,14693,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI760
206011107,2020,15010,2020-06-30,final,abs-erp-2024-25,Table 1!AD761
206011107,2021,14497,2021-06-30,final,abs-erp-2024-25,Table 1!AE761
206011107,2022,14619,2022-06-30,revised,abs-erp-2024-25,Table 1!AF761
206011107,2023,15115,2023-06-30,revised,abs-erp-2024-25,Table 1!AG761
206011107,2024,15538,2024-06-30,revised,abs-erp-2024-25,Table 1!AH761
206011107,2025,15988,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI761
206011109,2020,10836,2020-06-30,final,abs-erp-2024-25,Table 1!AD762
206011109,2021,10463,2021-06-30,final,abs-erp-2024-25,Table 1!AE762
206011109,2022,10398,2022-06-30,revised,abs-erp-2024-25,Table 1!AF762
206011109,2023,10600,2023-06-30,revised,abs-erp-2024-25,Table 1!AG762
206011109,2024,10831,2024-06-30,revised,abs-erp-2024-25,Table 1!AH762
206011109,2025,10907,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI762
206011495,2020,14124,2020-06-30,final,abs-erp-2024-25,Table 1!AD763
206011495,2021,13077,2021-06-30,final,abs-erp-2024-25,Table 1!AE763
206011495,2022,13185,2022-06-30,revised,abs-erp-2024-25,Table 1!AF763
206011495,2023,13976,2023-06-30,revised,abs-erp-2024-25,Table 1!AG763
206011495,2024,14474,2024-06-30,revised,abs-erp-2024-25,Table 1!AH763
206011495,2025,15255,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI763
206011496,2020,14235,2020-06-30,final,abs-erp-2024-25,Table 1!AD764
206011496,2021,13208,2021-06-30,final,abs-erp-2024-25,Table 1!AE764
206011496,2022,13303,2022-06-30,revised,abs-erp-2024-25,Table 1!AF764
