sa2_code,year,population,reference_date,revision_status,source_id,source_locator
206041117,2020,20865,2020-06-30,final,abs-erp-2024-25,Table 1!AD776
206041117,2021,17064,2021-06-30,final,abs-erp-2024-25,Table 1!AE776
206041117,2022,17942,2022-06-30,revised,abs-erp-2024-25,Table 1!AF776
206041117,2023,21321,2023-06-30,revised,abs-erp-2024-25,Table 1!AG776
206041117,2024,23758,2024-06-30,revised,abs-erp-2024-25,Table 1!AH776
206041117,2025,25267,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI776
212051567,2020,11715,2020-06-30,final,abs-erp-2024-25,Table 1!AD1041
212051567,2021,10099,2021-06-30,final,abs-erp-2024-25,Table 1!AE1041
212051567,2022,10711,2022-06-30,revised,abs-erp-2024-25,Table 1!AF1041
212051567,2023,12765,2023-06-30,revised,abs-erp-2024-25,Table 1!AG1041
212051567,2024,14069,2024-06-30,revised,abs-erp-2024-25,Table 1!AH1041
212051567,2025,14911,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI1041
212051568,2020,14027,2020-06-30,final,abs-erp-2024-25,Table 1!AD1042
212051568,2021,12276,2021-06-30,final,abs-erp-2024-25,Table 1!AE1042
212051568,2022,12884,2022-06-30,revised,abs-erp-2024-25,Table 1!AF1042
212051568,2023,14164,2023-06-30,revised,abs-erp-2024-25,Table 1!AG1042
212051568,2024,14977,2024-06-30,revised,abs-erp-2024-25,Table 1!AH1042
212051568,2025,15483,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI1042
213031348,2020,18092,2020-06-30,final,abs-erp-2024-25,Table 1!AD1064
213031348,2021,17419,2021-06-30,final,abs-erp-2024-25,Table 1!AE1064
213031348,2022,18017,2022-06-30,revised,abs-erp-2024-25,Table 1!AF1064
213031348,2023,19845,2023-06-30,revised,abs-erp-2024-25,Table 1!AG1064
213031348,2024,20607,2024-06-30,revised,abs-erp-2024-25,Table 1!AH1064
213031348,2025,20882,2025-06-30,preliminary,abs-erp-2024-25,Table 1!AI1064
